in_btc,out_btc,total_btc,mean_in_btc,mean_out_btc,in_malicious,out_malicious,is_malicious,out_and_tx_malicious,all_malicious,vin_sz,vout_sz,size,fee,time,sat_per_byte
96.0,54.48,150.48000000000002,96.0,54.48,0,0,0,0,0,1,2,257,0,1308006952,0.0
39.44817642,39.44817642,78.89635284,39.44817642,19.72408821,0,0,0,0,0,1,2,258,0,1307638460,0.0
49.26,49.25,98.51,49.26,24.625,0,0,0,0,0,1,2,257,1000000,1307455313,3891.0505836575876
93.34601986,93.34601986,186.69203972,93.34601986,46.67300993,0,0,0,0,0,1,2,258,0,1307409314,0.0
16.71743727,16.717437269999998,33.43487454,16.71743727,8.358718634999999,0,0,0,0,0,1,2,259,0,1307401877,0.0
150.01,150.01,300.02,50.00333333333333,75.005,0,0,0,0,0,3,2,619,0,1308039500,0.0
88.82758891,88.82758891,177.65517782,88.82758891,44.413794455,0,0,0,0,0,1,2,258,0,1308023445,0.0
99.99,99.99,199.98,99.99,49.995000000000005,0,0,0,0,0,1,2,258,0,1307821170,0.0
1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,1,1,224,0,1307601941,0.0
97.29,97.29,194.58,97.29,48.645,0,0,0,0,0,1,2,258,0,1307899384,0.0
121.4003124,121.4003124,242.8006248,121.4003124,60.7001562,0,0,0,0,0,1,2,259,0,1307544106,0.0
3.01,3.01,6.0200000000000005,3.01,1.505,0,0,0,0,0,1,2,258,0,1307792195,0.0
100.21067963,100.21067963,200.42135926,100.21067963,50.105339815,0,0,0,0,0,1,2,259,0,1307707544,0.0
1.03,1.02,2.05,0.515,0.51,0,0,0,0,0,2,2,440,1000000,1307779987,2272.7272727272725
1.53,1.52,3.05,0.51,0.76,0,0,0,0,0,3,2,619,1000000,1308161620,1615.5088852988692
25.22846332,30.66846332,55.89692664,8.409487773333334,15.33423166,0,0,0,0,0,9,2,1700,0,1307850445,0.0
42.8605,42.8605,85.721,42.8605,21.43025,0,0,0,0,0,1,2,259,0,1307450172,0.0
0.15,0.14,0.29,0.15,0.07,0,0,0,0,0,1,2,259,1000000,1307545928,3861.003861003861
37.70389904,37.69389904,75.39779808,7.540779808000001,18.84694952,0,0,0,0,0,5,2,977,1000000,1307496705,1023.5414534288639
203.7147983,203.7147983,407.4295966,203.7147983,101.85739915,0,0,0,0,0,1,2,257,0,1308264091,0.0
4.000000000000001,4.0,8.0,0.6666666666666669,4.0,0,0,0,0,0,6,1,1125,0,1308449251,0.0
67.04391607,67.04391607,134.08783214,67.04391607,33.521958035,0,0,0,0,0,1,2,258,0,1308342266,0.0
50.0,50.0,100.0,50.0,50.0,0,0,0,0,0,1,1,224,0,1308616300,0.0
334.07,334.07,668.14,334.07,167.035,0,0,0,0,0,1,2,259,0,1308220924,0.0
151.3,151.3,302.6,151.3,75.65,0,0,0,0,0,1,2,258,0,1308162735,0.0
198.41557132,198.41557132000003,396.83114264000005,198.41557132,99.20778566,0,0,0,0,0,1,2,258,0,1308373930,0.0
0.0,50.01,50.01,0.0,50.01,0,0,0,0,0,1,1,135,0,1280290454,0.0
441.2899123,441.2499123,882.5398246,441.2899123,441.2499123,0,0,0,0,0,1,2,258,0,1308221696,0.0
257.105,257.105,514.21,42.85083333333333,128.5525,0,0,0,0,0,6,2,1159,0,1308572092,0.0
1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,1,1,224,0,1308949590,0.0
5.5245,5.524,11.0485,1.8415,2.762,0,0,0,0,0,3,2,618,50000,1308727293,80.90614886731392
12.77,12.77,25.54,12.77,6.385,0,0,0,0,0,1,2,258,0,1308755737,0.0
3.1375,3.1375,6.275,0.3486111111111111,1.56875,0,0,0,0,0,9,2,1696,0,1309988719,0.0
0.2,0.1995,0.3995,0.1,0.09975,0,0,0,0,0,2,2,438,50000,1308341618,114.15525114155251
25.78518328,25.78518328,51.57036656,25.78518328,6.4462958200000005,0,0,0,0,0,1,4,327,0,1308343084,0.0
215.04695361000003,215.04695361,430.09390722,12.649820800588238,215.04695361,0,0,0,0,0,17,1,2976,0,1308899978,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1264657811,0.0
74.4261643,74.4261643,148.8523286,74.4261643,37.21308215,0,0,0,0,0,1,2,259,0,1308219227,0.0
4.97326796,4.97326796,9.94653592,4.97326796,2.48663398,0,0,0,0,0,1,2,258,0,1308327733,0.0
37.9,37.9,75.8,37.9,18.95,0,0,0,0,0,1,2,258,0,1308589186,0.0
1.26,1.26,2.52,1.26,1.26,0,0,0,0,0,1,1,224,0,1308752680,0.0
1.5,1.5,3.0,0.3,1.5,0,0,0,0,0,5,1,945,0,1308608768,0.0
113.05412,113.05412,226.10824,113.05412,56.52706,0,0,0,0,0,1,2,258,0,1308762192,0.0
10.01125353,10.01125353,20.02250706,0.9101139572727271,5.005626765,0,0,0,0,0,11,2,2057,0,1309583388,0.0
182.4051,182.4051,364.8102,182.4051,91.20255,0,0,0,0,0,1,2,258,0,1308738848,0.0
0.09,0.09,0.18,0.09,0.045,0,0,0,0,0,1,2,259,0,1308570225,0.0
18.39855139,18.38855139,36.78710278,18.39855139,9.194275695,0,0,0,0,0,1,2,257,1000000,1308313137,3891.0505836575876
79.70994269,79.60994269,159.31988538000002,79.70994269,79.60994269,0,0,0,0,0,1,2,258,0,1308266997,0.0
29.49,29.49,58.98,29.49,14.745,0,0,0,0,0,1,2,259,0,1308375985,0.0
7.39080931,7.39080931,14.78161862,1.478161862,3.695404655,0,0,0,0,0,5,2,978,0,1310060873,0.0
0.0,50.34,50.34,0.0,50.34,0,0,0,0,0,1,1,134,0,1307702363,0.0
0.51719496,0.0,0.51719496,0.25859748,0.0,0,0,0,0,0,3,2,616,0,1308387706,0.0
3.847,3.847,7.694000000000001,3.847,1.9235,0,0,0,0,0,1,2,258,0,1309057043,0.0
0.0315,0.0315,0.063,0.0315,0.01575,0,0,0,0,0,1,2,257,0,1308971420,0.0
