tx_hash,indegree,outdegree,in_btc,out_btc,total_btc,mean_in_btc,mean_out_btc,in_malicious,out_malicious,is_malicious,out_and_tx_malicious,all_malicious
d01d756731d511b7e0aa6d8be9f5e0dcb20aa983c17c4d95f3a7ab2c26943209,1,2,2.9,2.9,5.8,2.9,1.45,0,0,0,0,0
6c8e843741dbee7e4c79712890bb005ef9532e4d18945b7ba81391d7a31d74ac,1,2,0.46,0.46,0.92,0.46,0.23,0,0,0,0,0
5d4e497a05c12032ee8821a7102536b86651e13862b592abd02ea12c5f857819,1,2,37.82,37.82,75.64,37.82,18.91,0,0,0,0,0
9350ca233f63c555160b2f101912099913eac795cc79a8a94448c5b62092317d,1,1,96.51,54.59,151.10000000000002,96.51,54.59,0,0,0,0,0
2f3b66742624a5621419b7931fa218b78cc256355809107f1a0e4e2c2fa0267f,7,2,1.03,1.01,2.04,0.1471428571428571,0.505,0,0,0,0,0
bbbd69e9adffd9c4ac9164fb78c56514bf8db85c1f145cecc7b537215387181b,1,2,50.02,50.02,100.04,50.02,25.01,0,0,0,0,0
3d48eb4d677199b77944e1d2c070388b9fb37c7f8cf7798c8eb7893a5614e44a,1,1,128.52,118.55,247.07,128.52,118.55,0,0,0,0,0
9815bf587b0e091579cdf3990ff54de93af5e98e37fcc45714c170e6a5a25f9e,1,1,0.05,0.05,0.1,0.05,0.05,0,0,0,0,0
408fdfd978c47548df2fed57ffe6c6b067ed1b0d1fb6261c632ee28662ceed2a,1,1,1.42,1.39,2.81,1.42,1.39,0,0,0,0,0
5f711a1adb92b2f3369346beee6f12ad8c5cbaecb719ddb2ab56245831c5c574,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
8a4e8af02acc5268afce9b44e6908e1d1c95eb4a1cd8704491d46b24b378a97b,1,2,35.29,35.290000000000006,70.58000000000001,35.29,17.645000000000003,0,0,0,0,0
c60bdd08e50495be7dfd386d4116a1ccc8b5f475650bf2f2464ab8ac9289b1c4,1,2,11.701,11.701,23.402,11.701,5.8505,0,0,0,0,0
ba9754b4922b5aa8448e963d5a410fb01aac0b288c181933202c3f7421e37b1e,1,2,0.05,0.05,0.1,0.05,0.025,0,0,0,0,0
8c59bde3f3849a527a4b925706113a5dd5bb64349516ff2e5f331dd1f05a75c1,1,1,2.9,1.86,4.76,2.9,1.86,0,0,0,0,0
9679fd73e4625551f937bd3777f0a7992da98757ef57e75473f6b6495c1a62c3,1,2,1.48,1.47,2.95,1.48,0.735,0,0,0,0,0
9d43b65fa5cfa6ac1e0d978f6614270bd9f33539709ae8e0f22968dfe17eeaa6,2,1,1.0,1.0,2.0,0.5,1.0,0,0,0,0,0
1190083e5e76dd9b7bc692477d50e25a3aa1e816dbefe8c0ceb3b2ac8678c1dc,1,1,40.0,40.0,80.0,40.0,40.0,0,0,0,0,0
27e01202ece54baf469eb85c6b320ca3a18966170ddc9ba4388caf87dbf1e180,4,1,10.000000000000002,10.0,20.0,2.5000000000000004,10.0,0,0,0,0,0
773bfacd50009acdf57edda75c20de93c01d0bf7c4ecec26dd695516341fbc98,1,1,184.15,180.87,365.02,184.15,180.87,0,0,0,0,0
4812bffdd4e94074cc075b5414d6ba9c66a54f653c3e7f058b8fb3ac5df48428,1,2,0.8,0.79,1.59,0.8,0.395,0,0,0,0,0
82ee0e38fd408127f98ccb95a2ea5ae3ddff9ab780aa04b7d0e04ffa47901ea0,1,1,43.88,43.77,87.65,43.88,43.77,0,0,0,0,0
22769b4b2f06acbe851eacb740014e2e915bd624a2403cd4465afda38f26a8c2,1,2,49.22,49.22,98.44,49.22,24.61,0,0,0,0,0
35f8f2ca459bcf6f83d0b8774af44256a9bd9355172f916e03e007f3a766edab,6,1,33.04216556,33.04,66.08216555999999,5.5070275933333335,33.04,0,0,0,0,0
a9a3cb335bf869f207949e35a2fcb30668a7e309a5c2f725b7401a948f588845,1,2,40.87,40.87,81.74,40.87,20.435,0,0,0,0,0
1e6c7c91d7575c1508d1fc158bad04f7c2b146fee987f7fac74c64dca614ce40,1,2,0.17,0.17,0.34,0.17,0.085,0,0,0,0,0
366da3d1e4e846947851821b371616999e3eaabd1d121b78739ff9fee87adaf5,1,2,0.27,0.27,0.54,0.27,0.135,0,0,0,0,0
ac5d68e4d54fc2f0c3b3070eb085847f2762feb97eb5c4f080da923f638e77ee,1,2,0.22,0.22,0.44,0.22,0.11,0,0,0,0,0
71f2304636025c88fb6d494c3917bf3a36f7cd4313bab701caf55e5b29d372c8,1,2,2.95,2.95,5.9,2.95,1.475,0,0,0,0,0
441d96863a30081af7d50c9b96d93a9ddb85fa6ec3c3d63971c8feff99e46a2d,1,2,4.46,4.45,8.91,4.46,2.225,0,0,0,0,0
e6b203aaa45edd0c4dba88ac14b002aacd6eff2a099343f67c37924cf168d49d,1,2,2.53,2.5295,5.0595,2.53,1.26475,0,0,0,0,0
a8d7802e8e76b8f6b567187c21586e20261cc79a4cc8890b78bb189698912805,1,1,3.31,0.35,3.66,3.31,0.35,0,0,0,0,0
f9efa56be8edd74909a8800bd4dfecac9499b365d02833ea8df08ecd9231676d,1,2,50.27654322,50.26654322,100.54308644,50.27654322,25.13327161,0,0,0,0,0
87d51ca95f39dc7730066d4b04c81c8530c9b9024c8f92509a3d1bac556b8f8e,1,2,43.68,43.68,87.36,43.68,21.84,0,0,0,0,0
c801ec94003a6cdc01e74dca9d6312b2724bda1e6d758d7149eaf3ebb0942b2d,1,2,5.0,5.0,10.0,5.0,2.5,0,0,0,0,0
06cea38958bcc47cf78e3435df963fd8c3f021e27fae5e71521d809e142426c0,1,1,9.59,9.56,19.15,9.59,9.56,0,0,0,0,0
fcf66af75beda25cf02baeaeac549615f4b0fb5a4863638053e2b6e64f2136ff,1,2,43.681983,43.681983,87.363966,43.681983,21.8409915,0,0,0,0,0
69aeb29430856545f5e7069aac91160119558e7a85e5a7faf7bb8b261ddad44b,1,2,46.35385805,46.35385805,92.7077161,46.35385805,23.176929025,0,0,0,0,0
